agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
static_difficulty,user_000,train,2,0,0,19,sharing,3,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,9.676312845247464
static_difficulty,user_000,train,2,0,1,154,turn_taking,3,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,9.809562404104794
static_difficulty,user_000,train,2,0,2,154,turn_taking,3,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,9.842362867019908
static_difficulty,user_000,train,2,0,3,109,emotion_recognition,3,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,9.25926451077481
static_difficulty,user_000,train,2,0,4,109,emotion_recognition,3,False,0.46139994257257777,0.5,1.0,0.6026662838171855,0.51,0.5,0,9.1533376847656
static_difficulty,user_000,train,2,0,5,199,conflict_resolution,3,True,0.9513254267536799,0.09999999999999999,1.0,0.7955028450245336,0.52,0.5,0,9.260473021393041
static_difficulty,user_000,train,2,0,6,19,sharing,3,True,0.9286199582944001,0.19999999999999998,1.0,0.7441330552960015,0.53,0.5,0,9.198560836435714
static_difficulty,user_000,train,2,0,7,154,turn_taking,3,True,0.9695727227917883,0.0,1.0,0.8171514852785886,0.54,0.5,0,9.063800056769853
static_difficulty,user_000,train,2,0,8,64,patience,3,True,0.932145213681995,0.19999999999999998,1.0,0.7676347578799665,0.55,0.5,0,9.187624644395738
static_difficulty,user_000,train,2,0,9,19,sharing,3,True,0.9322698949361324,0.19999999999999998,1.0,0.768465966240883,0.56,0.5,0,8.84509727373405
static_difficulty,user_000,train,2,0,10,109,emotion_recognition,3,True,0.9271023151066418,0.19999999999999998,1.0,0.7340154340442788,0.5700000000000001,0.5,0,9.586168928722397
static_difficulty,user_000,train,2,0,11,199,conflict_resolution,3,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.5800000000000001,0.5,0,9.608427544879872
static_difficulty,user_000,train,2,0,12,154,turn_taking,3,True,0.931718066882419,0.19999999999999998,1.0,0.7647871125494605,0.5900000000000001,0.5,0,9.82679071013052
static_difficulty,user_000,train,2,0,13,154,turn_taking,3,True,0.9524192545982493,0.09999999999999999,1.0,0.8027950306549949,0.6000000000000001,0.5,0,9.209396582430848
static_difficulty,user_000,train,2,0,14,154,turn_taking,3,False,0.5016106202963169,0.3,1.0,0.6707374686421124,0.6000000000000001,0.5,0,9.407960748956658
static_difficulty,user_000,train,2,0,15,154,turn_taking,3,False,0.46577885429766397,0.5,1.0,0.631859028651093,0.6000000000000001,0.5,0,9.259943425598799
static_difficulty,user_000,train,2,0,16,109,emotion_recognition,3,True,0.972895350286697,0.0,1.0,0.8393023352446474,0.6100000000000001,0.5,0,9.082271425756947
static_difficulty,user_000,train,2,0,17,19,sharing,3,True,0.9311222875784062,0.19999999999999998,1.0,0.7608152505227086,0.6200000000000001,0.5,0,9.553531842000517
static_difficulty,user_000,train,2,0,18,199,conflict_resolution,3,False,0.5044809149783296,0.3,1.0,0.6898727665221976,0.6200000000000001,0.5,0,9.051314702025458
static_difficulty,user_000,train,2,0,19,109,emotion_recognition,3,True,0.90632900283765,0.3,1.0,0.6955266855843341,0.6300000000000001,0.5,0,9.794032865430271
static_difficulty,user_001,train,2,0,0,109,emotion_recognition,3,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,13.282572412754138
static_difficulty,user_001,train,2,0,1,64,patience,3,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,16.42506567888614
static_difficulty,user_001,train,2,0,2,19,sharing,3,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,18.482849341005668
static_difficulty,user_001,train,2,0,3,199,conflict_resolution,3,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,18.50059145519122
static_difficulty,user_001,train,2,0,4,154,turn_taking,3,False,0.48652494257257783,0.39999999999999997,1.0,0.6701662838171856,0.51,0.5,0,19.22251595480641
static_difficulty,user_001,train,2,0,5,154,turn_taking,3,False,0.48545042675368,0.39999999999999997,1.0,0.6630028450245337,0.51,0.5,0,19.56190278077366
static_difficulty,user_001,train,2,0,6,109,emotion_recognition,3,False,0.4625510723562285,0.5,1.0,0.6103404823748569,0.51,0.5,0,21.19919904728437
static_difficulty,user_001,train,2,0,7,199,conflict_resolution,3,True,0.9101296742873277,0.3,1.0,0.7208644952488518,0.52,0.5,0,21.65087995112253
static_difficulty,user_001,train,2,0,8,109,emotion_recognition,3,True,0.9686604064719102,0.0,1.0,0.8110693764794011,0.53,0.5,0,21.052949139933368
static_difficulty,user_001,train,2,0,9,109,emotion_recognition,3,False,0.48342567731982966,0.39999999999999997,1.0,0.6495045154655312,0.53,0.5,0,22.07146227630061
static_difficulty,user_001,train,2,0,10,109,emotion_recognition,3,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.54,0.5,0,22.253257205216055
static_difficulty,user_001,train,2,0,11,64,patience,3,False,0.46584306688241905,0.5,1.0,0.6322871125494605,0.54,0.5,0,21.338953300515957
static_difficulty,user_001,train,2,0,12,19,sharing,3,False,0.488755058442669,0.39999999999999997,1.0,0.6850337229511262,0.54,0.5,0,19.99225583642018
static_difficulty,user_001,train,2,0,13,109,emotion_recognition,3,False,0.3994468656129685,0.7,1.0,0.3896457707531233,0.54,0.5,0,20.349668639977025
static_difficulty,user_001,train,2,0,14,199,conflict_resolution,3,True,0.9301579396991457,0.19999999999999998,1.0,0.7543862646609716,0.55,0.5,0,20.448090943992973
static_difficulty,user_001,train,2,0,15,19,sharing,3,True,0.9724641600376731,0.0,1.0,0.8364277335844879,0.56,0.5,0,19.894061654460394
static_difficulty,user_001,train,2,0,16,199,conflict_resolution,3,True,0.9713649504410222,0.0,1.0,0.8290996696068156,0.5700000000000001,0.5,0,20.313106044559753
static_difficulty,user_001,train,2,0,17,199,conflict_resolution,3,True,0.9303418524959084,0.19999999999999998,1.0,0.755612349972723,0.5800000000000001,0.5,0,19.958052387506875
static_difficulty,user_001,train,2,0,18,64,patience,3,True,0.90632900283765,0.3,1.0,0.6955266855843341,0.5900000000000001,0.5,0,22.088462917266774
static_difficulty,user_001,train,2,0,19,154,turn_taking,3,False,0.4617653656001602,0.5,1.0,0.6051024373344014,0.5900000000000001,0.5,0,21.39335178957578
static_difficulty,user_002,train,2,0,0,19,sharing,3,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,9.280513178674417
static_difficulty,user_002,train,2,0,1,154,turn_taking,3,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,9.083487660632654
static_difficulty,user_002,train,2,0,2,154,turn_taking,3,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,8.894039097913913
static_difficulty,user_002,train,2,0,3,64,patience,3,True,0.7430204694308875,0.09999999999999999,0.3,0.8068031295392506,0.51,0.5,0,8.244996387578835
static_difficulty,user_002,train,2,0,4,19,sharing,3,False,0.48652494257257783,0.39999999999999997,1.0,0.6701662838171853,0.51,0.5,0,8.048209967987809
static_difficulty,user_002,train,2,0,5,199,conflict_resolution,3,False,0.27545042675368003,0.39999999999999997,0.3,0.6630028450245338,0.51,0.5,0,7.850217477745545
static_difficulty,user_002,train,2,0,6,109,emotion_recognition,3,True,0.9284260723562285,0.19999999999999998,1.0,0.7428404823748569,0.52,0.5,0,8.236349604231318
static_difficulty,user_002,train,2,0,7,199,conflict_resolution,3,False,0.4852743809267699,0.39999999999999997,1.0,0.6618292061784657,0.52,0.5,0,8.167414655805578
static_difficulty,user_002,train,2,0,8,154,turn_taking,3,True,0.7586604064719102,0.0,0.3,0.8110693764794011,0.53,0.5,0,7.857865310476756
